"fabricante_oleo","modelo_oleo","viscosidade"
"SHELL",NULL,"ISO VG 15"
"SHELL",NULL,"ISO VG 150"
"SHELL",NULL,"ISO VG 1500"
"SHELL",NULL,"ISO VG 22"
"SHELL",NULL,"ISO VG 220"
"SHELL",NULL,"ISO VG 25"
"SHELL",NULL,"ISO VG 32"
"SHELL",NULL,"ISO VG 320"
"SHELL",NULL,"ISO VG 46"
"SHELL",NULL,"ISO VG 460"
"SHELL",NULL,"ISO VG 68"
"SHELL",NULL,"ISO VG 680"
"SHELL",NULL,"IV - A PLUS"
"SHELL",NULL,"LG WM1"
"SHELL",NULL,"mobil"
"SHELL",NULL,"Mysella S5 N40"
"SHELL",NULL,"N 32"
"SHELL",NULL,"NA"
"SHELL",NULL,"NÃO INFORMADO"
"SHELL",NULL,"NLGI 0-00"
"SHELL",NULL,"NLGI 1-2"
"SHELL",NULL,"NLGI 2"
"SHELL",NULL,"Óleo Diesel"
"SHELL",NULL,"OMALA 150"
"SHELL",NULL,"OMALA 220"
"SHELL",NULL,"OMALA 320"
"SHELL",NULL,"Plus 50"
"SHELL",NULL,"PLUS 50 II"
"SHELL",NULL,"Plus 85w140"
"SHELL",NULL,"R6"
"SHELL",NULL,"S10"
"SHELL",NULL,"S2"
"SHELL",NULL,"S500"
"SHELL",NULL,"S5N"
"SHELL",NULL,"S 80W90"
"SHELL",NULL,"SAE 0W16"
"SHELL",NULL,"SAE 0W20"
"SHELL",NULL,"SAE 0W30"
"SHELL",NULL,"SAE 0W8"
"SHELL",NULL,"SAE 10W"
"SHELL",NULL,"SAE 10W30"
"SHELL",NULL,"SAE 10W40"
"SHELL",NULL,"SAE 140"
"SHELL",NULL,"SAE 140."
"SHELL",NULL,"SAE 15W30"
"SHELL",NULL,"SAE 15W40"
"SHELL",NULL,"SAE 15W50"
"SHELL",NULL,"SAE 20W30"
"SHELL",NULL,"SAE 20W50"
"SHELL",NULL,"SAE 30"
"SHELL",NULL,"SAE 30W"
"SHELL",NULL,"SAE 40"
"SHELL",NULL,"SAE 46"
"SHELL",NULL,"SAE 50"
"SHELL",NULL,"SAE 5W30"
"SHELL",NULL,"SAE 5W40"
"SHELL",NULL,"SAE 75W140"
"SHELL",NULL,"SAE 75W80"
"SHELL",NULL,"SAE 75W85"
"SHELL",NULL,"SAE 75W90"
"SHELL",NULL,"SAE 80"
"SHELL",NULL,"SAE 80W140"
"SHELL",NULL,"SAE 80W90"
"SHELL",NULL,"SAE 85W140"
"SHELL",NULL,"SAE 90"
"SHELL",NULL,"SHC 100"
"SHELL",NULL,"SHC 32"
"SHELL",NULL,"SIDERLUBRIC 822-68"
"SHELL",NULL,"TDH SPECIAL"
"SHELL",NULL,"TELLUS 46"
"SHELL",NULL,"TELLUS 68"
"SHELL",NULL,"THF GRANS"
"SHELL",NULL,"TO-10"
"SHELL",NULL,"TO-30"
"SHELL",NULL,"TORQ GARD"
"SHELL",NULL,"TRANSYND"
"SHELL",NULL,"WB101"
"SKF",NULL,"-"
"SKF",NULL,"200"
"SKF",NULL,"200D"
"SKF",NULL,"320"
"SKF",NULL,"41-141"
"SKF",NULL,"ISO 120"
"SKF",NULL,"LG WM1"
"SKF",NULL,"NÃO INFORMADO"
"SKF",NULL,"NLGI 2"
"STARA",NULL,"SAE 80W140"
"Sullair",NULL,"-"
"Sullair",NULL,"ISO 32"
"Sullair",NULL,"ISO VG 32"
"Sullair",NULL,"SAE 85W140"
"Sullub",NULL,"5W20"
"Sullub",NULL,"ISO VG 32"
"Sullub",NULL,"SAE 10W40"
"SULLUBE",NULL,"ISO VG 32"
"SYNECO",NULL,"-"
"SYNECO",NULL,"ISO 46"
"SYNECO",NULL,"ISO VG 46"
"TAURUS",NULL,"Óleo Diesel"
"TAURUS",NULL,"S10"
"TAURUS",NULL,"S500"
"TEAM ORION",NULL,"SAE 15W40"
"TEAM ORION",NULL,"SAE 90"
"TECHTROL",NULL,"-"
"TECHTROL",NULL,"ISO VG 22"
"TECHTROL",NULL,"ISO VG 32"
"TECHTROL",NULL,"Techtrol"
"TECNO",NULL,"ISO VG 100"
"TECNO",NULL,"ISO VG 46"
"TECTURBO",NULL,"SAE 15W40"
"TEXACO","DELO 1000 MARINE","SAE 40"
"TEXACO","Hando HD","ISO VG 46"
"TEXACO","HANDO HDZ","ISO VG 68"
"TEXACO","MEROPA","ISO VG 150"
"TEXACO","MEROPA","ISO VG 220"
"TEXACO","MEROPA","ISO VG 320"
"TEXACO","MEROPA","ISO VG 460"
"TEXACO","MEROPA","ISO VG 680"
"TEXACO","QUENCHTEX 5000","-"
"TEXACO","Rando HD","ISO VG 46"
"TEXACO","RANDO HD","ISO VG 100"
"TEXACO","RANDO HD","ISO VG 68"
"TEXACO","REGAL EP","ISO VG 32"
"TEXACO","REGAL EP","ISO VG 46"
"TEXACO","REGAL EP","ISO VG 68"
"TEXACO","REGAL R&O","ISO VG 150"
"TEXACO","REGAL R&O","ISO VG 32"
"TEXACO","REGAL R&O","ISO VG 46"
"TEXACO","REGAL R&O","ISO VG 68"
"TEXACO","TDH Oil","SAE 10W30"
"TEXACO",NULL,"-"
"TEXACO",NULL,"10w50"
"TEXACO",NULL,"10W (inactive)"
"TEXACO",NULL,"1340"
"TEXACO",NULL,"150"
"TEXACO",NULL,"220"
"TEXACO",NULL,"30W"
"TEXACO",NULL,"320"
"TEXACO",NULL,"40 (INACTIVO)"
"TEXACO",NULL,"424"
"TEXACO",NULL,"460 OH"
"TEXACO",NULL,"50"
"TEXACO",NULL,"500"
"TEXACO",NULL,"50/50"
"TEXACO",NULL,"50W"
"TEXACO",NULL,"5W40"
"TEXACO",NULL,"600 XP 150"
"TEXACO",NULL,"600 XP 68"
"TEXACO",NULL,"60/40"
"TEXACO",NULL,"68"
"TEXACO",NULL,"680"
"TEXACO",NULL,"70W90"
"TEXACO",NULL,"75w140"
"TEXACO",NULL,"75W80"
"TEXACO",NULL,"75W95"
"TEXACO",NULL,"80W"
"TEXACO",NULL,"80W75"
"TEXACO",NULL,"80W90"
"TEXACO",NULL,"85W40"
"TEXACO",NULL,"85W90"
"TEXACO",NULL,"90"
"TEXACO",NULL,"A295"
"TEXACO",NULL,"AT101"
"TEXACO",NULL,"AT102"
"TEXACO",NULL,"ATF"
"TEXACO",NULL,"AW 68 HLP"
"TEXACO",NULL,"Collant"
"TEXACO",NULL,"Coolant"
"TEXACO",NULL,"COOL-GARD"
"TEXACO",NULL,"DTE 26"
"TEXACO",NULL,"DTE 46"
"TEXACO",NULL,"EP 2"
"TEXACO",NULL,"EP-2"
"TEXACO",NULL,"Glicol"
"TEXACO",NULL,"GRAU 100"
"TEXACO",NULL,"HD 30"
"TEXACO",NULL,"HD 50"
"TEXACO",NULL,"HD 60"
"TEXACO",NULL,"HD 85W140"
"TEXACO",NULL,"HIDROBAK HV 68"
"TEXACO",NULL,"HYGARD"
"TEXACO",NULL,"ISO 100"
"TEXACO",NULL,"ISO 220"
"TEXACO",NULL,"ISO 32"
"TEXACO",NULL,"ISO 320"
"TEXACO",NULL,"ISO 46"
"TEXACO",NULL,"ISO 460"
"TEXACO",NULL,"ISO 68"
"TEXACO",NULL,"ISO VG 10"
"TEXACO",NULL,"ISO VG 100"
"TEXACO",NULL,"ISO VG 1000"
"TEXACO",NULL,"ISO VG 150"
"TEXACO",NULL,"ISO VG 220"
"TEXACO",NULL,"ISO VG 32"
"TEXACO",NULL,"ISO VG 320"
"TEXACO",NULL,"ISO VG 46"
"TEXACO",NULL,"ISO VG 460"
"TEXACO",NULL,"ISO VG 68"
"TEXACO",NULL,"ISO VG 680"
"TEXACO",NULL,"NÃO INFORMADO"
"TEXACO",NULL,"Óleo Diesel"
"TEXACO",NULL,"PM 220"
"TEXACO",NULL,"S10"
"TEXACO",NULL,"S500"
"TEXACO",NULL,"SAE 0W40"
"TEXACO",NULL,"SAE 0W50"
"TEXACO",NULL,"SAE 10W"
"TEXACO",NULL,"SAE 10W30"
"TEXACO",NULL,"SAE 10W40"
"TEXACO",NULL,"SAE 10W50"
"TEXACO",NULL,"SAE 140"
"TEXACO",NULL,"SAE 140."
"TEXACO",NULL,"SAE 15W30"
"TEXACO",NULL,"SAE 15W40"
"TEXACO",NULL,"SAE 15W50"
"TEXACO",NULL,"SAE 20W40"
"TEXACO",NULL,"SAE 20W50"
"TEXACO",NULL,"SAE 30"
"TEXACO",NULL,"SAE 30W"
"TEXACO",NULL,"SAE 40"
"TEXACO",NULL,"SAE 46"
"TEXACO",NULL,"SAE 50"
"TEXACO",NULL,"SAE 5W30"
"TEXACO",NULL,"SAE 5W40"
"TEXACO",NULL,"SAE 60"
"TEXACO",NULL,"SAE 75W140"
"TEXACO",NULL,"SAE 75W80"
"TEXACO",NULL,"SAE 75W85"
"TEXACO",NULL,"SAE 75W90"
"TEXACO",NULL,"SAE 80"
"TEXACO",NULL,"SAE 80W140"
"TEXACO",NULL,"SAE 80W90"
"TEXACO",NULL,"SAE 85W140"
"TEXACO",NULL,"SAE 90"
"TEXACO",NULL,"SIDERLUBRIC 822-68"
"TEXACO",NULL,"Special 2T"
"TEXACO",NULL,"TDH SPECIAL"
"TEXACO",NULL,"TELLUS 46"
"TEXACO",NULL,"TELLUS 68"
"TEXACO",NULL,"TEXAMATIC B"
"TEXACO",NULL,"TO-30"
"TEXACO",NULL,"TO-46"
"TEXACO",NULL,"TRANSYND"
"TEXACO",NULL,"WB101"
"TEXACO",NULL,"WB102"
"TIRRENO FLUID COOL G48 93M",NULL,"-"
"TIRRENO FLUID COOL G48 93M",NULL,"0,5"
"TIRRENO FLUID COOL G48 93M",NULL,"50/50"
"TIRRENO FLUID COOL G48 93M",NULL,"AW 68 HLP"
"TIRRENO FLUID COOL G48 93M",NULL,"COOL-GARD"
"TIRRENO FLUID COOL G48 93M",NULL,"ISO 100"
"TIRRENO FLUID COOL G48 93M",NULL,"ISO 68"
"TIRRENO FLUID COOL G48 93M",NULL,"ISO VG 68"
"TIRRENO FLUID COOL G48 93M",NULL,"NÃO INFORMADO"
"T-OIL",NULL,"ISO VG 68"
"T-OIL",NULL,"SAE 15W40"
"TOTAL","Azolla AF 68","ISO VG 68"
"TOTAL","Azolla ZS 32","ISO VG 32"
"TOTAL","Azolla ZS 46","ISO VG 46"
"TOTAL","Azolla ZS 68","ISO VG 68"
"TOTAL","Carter EP 150","ISO VG 150"
"TOTAL","Carter EP 220","ISO 220"
"TOTAL","Carter EP 320","ISO 320"
"TOTAL","Carter EP 460","ISO 460"
"TOTAL","Carter SH 220","ISO 220"
"TOTAL","Dacnis SH 46","ISO VG 46"
"TOTAL","Equivis XLT 15","ISO VG 15"
"TOTAL","Equivis ZS 15","ISO VG 15"
"TOTAL","Lunaria NH","ISO VG 68"
"TOTAL","Lunaria SH","ISO VG 68"
"TOTAL","Nevastane AW","ISO VG 68"
"TOTAL","Quartz 9000 Future FGC","SAE 0W20"
"TOTAL","Rubia TIR 7400","SAE 15W40"
"TOTAL",NULL,"-"
"TOTAL",NULL,"150"
"TOTAL",NULL,"220"
"TOTAL",NULL,"25W60"
"TOTAL",NULL,"30W"
"TOTAL",NULL,"320"
"TOTAL",NULL,"46"
"TOTAL",NULL,"460"
"TOTAL",NULL,"68"
"TOTAL",NULL,"680"
"TOTAL",NULL,"75W80"
"TOTAL",NULL,"80W"
"TOTAL",NULL,"80W90"
"TOTAL",NULL,"85W90"
"TOTAL",NULL,"ATF"
"TOTAL",NULL,"ATF MD3"
"TOTAL",NULL,"AW 68 HLP"
"TOTAL",NULL,"HV46"
"TOTAL",NULL,"ISO 220"
"TOTAL",NULL,"ISO 32"
"TOTAL",NULL,"ISO 320"
"TOTAL",NULL,"ISO 46"
"TOTAL",NULL,"ISO 460"
"TOTAL",NULL,"ISO 68"
"TOTAL",NULL,"ISO VG 100"
"TOTAL",NULL,"ISO VG 15"
"TOTAL",NULL,"ISO VG 150"
"TOTAL",NULL,"ISO VG 220"
"TOTAL",NULL,"ISO VG 32"
"TOTAL",NULL,"ISO VG 320"
"TOTAL",NULL,"ISO VG 45"
"TOTAL",NULL,"ISO VG 46"
"TOTAL",NULL,"ISO VG 460"
"TOTAL",NULL,"ISO VG 68"
"TOTAL",NULL,"NÃO INFORMADO"
"TOTAL",NULL,"Óleo Diesel"
"TOTAL",NULL,"PEROIL"
"TOTAL",NULL,"PM 460"
"TOTAL",NULL,"S10"
"TOTAL",NULL,"S500"
"TOTAL",NULL,"SAE 10W30"
"TOTAL",NULL,"SAE 10W40"
"TOTAL",NULL,"SAE 15W30"
"TOTAL",NULL,"SAE 15W40"
"TOTAL",NULL,"SAE 46"
"TOTAL",NULL,"SAE 50"
"TOTAL",NULL,"SAE 75W90"
"TOTAL",NULL,"SAE 85W140"
"TOTAL",NULL,"SAE 90"
"TOTALENERGIES",NULL,"-"
"TOTALENERGIES",NULL,"220"
"TOTALENERGIES",NULL,"220 EP"
"TOTALENERGIES",NULL,"320"
"TOTALENERGIES",NULL,"68"
"TOTALENERGIES",NULL,"AW 68 HLP"
"TOTALENERGIES",NULL,"ISO 220"
"TOTALENERGIES",NULL,"ISO 320"
"TOTALENERGIES",NULL,"ISO 460"
"TOTALENERGIES",NULL,"ISO 68"
"TOTALENERGIES",NULL,"ISO VG 100"
"TOTALENERGIES",NULL,"ISO VG 150"
"TOTALENERGIES",NULL,"ISO VG 220"
"TOTALENERGIES",NULL,"ISO VG 320"
"TOTALENERGIES",NULL,"ISO VG 46"
"TOTALENERGIES",NULL,"ISO VG 460"
"TOTALENERGIES",NULL,"ISO VG 68"
"TOTALENERGIES",NULL,"SAE 0W20"
"TOTALENERGIES",NULL,"SAE 15W40"
"TOTALENERGIES",NULL,"SAE 5W30"
"TOTALENERGIES",NULL,"TO-46"
"TOYOTA",NULL,"-"
"TOYOTA",NULL,"SAE 10W30"
"TOYOTA",NULL,"SAE 15W40"
"TOYOTA",NULL,"SAE 5W30"
"TRANE",NULL,"-"
"TRANE",NULL,"300 C"
"TRANE",NULL,"68"
"TRANE",NULL,"80W"
"TRANE",NULL,"ISO 120"
"TRANE",NULL,"ISO 68"
"TRANE",NULL,"ISO VG 100"
"TRANE",NULL,"ISO VG 22"
"TRANE",NULL,"ISO VG 68"
"TRANE",NULL,"SAE 20W40"
"Ultrax",NULL,"AW 68 HLP"
"Ultrax",NULL,"Coolant"
"Ultrax",NULL,"SAE 10W30"
"Ultrax",NULL,"SAE 15W40"
"Ultrax",NULL,"SAE 50"
"UNIL",NULL,"ISO VG 320"
"UNIPETRO",NULL,"-"
"UNIPETRO",NULL,"80W"
"UNIPETRO",NULL,"NA"
"UNIPETRO",NULL,"NÃO INFORMADO"
"UNIPETRO",NULL,"Óleo Diesel"
"UNIPETRO",NULL,"S10"
"UNIPETRO",NULL,"S500"
"UNIPETRO",NULL,"SAE 10W30"
"UNIPETRO",NULL,"SAE 80W90"
"UNIPETRO",NULL,"TELLUS 68"
"URANIA",NULL,"SAE 10W30"
"URANIA",NULL,"SAE 10W40"
"URANIA",NULL,"SAE 15W40"
"URANIA",NULL,"SAE 5W30"
"VALVOLINE","Premium Blue 7800 Plus","SAE 15W40"
"VALVOLINE","TURBO DIESEL E700","SAE 15W40"
"VALVOLINE",NULL,"-"
"VALVOLINE",NULL,"40 (INACTIVO)"
"VALVOLINE",NULL,"50/50"
"VALVOLINE",NULL,"668"
"VALVOLINE",NULL,"68"
"VALVOLINE",NULL,"70W80"
"VALVOLINE",NULL,"75W80"
"VALVOLINE",NULL,"80W"
"VALVOLINE",NULL,"80W90"
"VALVOLINE",NULL,"AT102"
"VALVOLINE",NULL,"ATF"
"VALVOLINE",NULL,"Collant"
"VALVOLINE",NULL,"HD 85W140"
"VALVOLINE",NULL,"ISO 68"
"VALVOLINE",NULL,"ISO VG 46"
"VALVOLINE",NULL,"ISO VG 68"
"VALVOLINE",NULL,"NÃO INFORMADO"
"VALVOLINE",NULL,"S10"
"VALVOLINE",NULL,"SAE 10W"
"VALVOLINE",NULL,"SAE 10W30"
"VALVOLINE",NULL,"SAE 10W40"
"VALVOLINE",NULL,"SAE 15W30"
"VALVOLINE",NULL,"SAE 15W40"
"VALVOLINE",NULL,"SAE 20W50"
"VALVOLINE",NULL,"SAE 30"
"VALVOLINE",NULL,"SAE 40"
"VALVOLINE",NULL,"SAE 46"
"VALVOLINE",NULL,"SAE 50"
"VALVOLINE",NULL,"SAE 5W30"
"VALVOLINE",NULL,"SAE 60"
"VALVOLINE",NULL,"SAE 75W140"
"VALVOLINE",NULL,"SAE 75W90"
"VALVOLINE",NULL,"SAE 80W90"
"VALVOLINE",NULL,"SAE 85W140"
"VALVOLINE",NULL,"SAE 90"
"Vibra","B S10","Óleo Diesel"
"Vibra",NULL,"-"
"Vibra",NULL,"DTO4"
"Vibra",NULL,"GRAU 180"
"Vibra",NULL,"ISO 2"
"Vibra",NULL,"ISO 46"
"Vibra",NULL,"ISO 68"
"Vibra",NULL,"ISO VG 100"
"Vibra",NULL,"ISO VG 150"
"Vibra",NULL,"ISO VG 220"
"Vibra",NULL,"ISO VG 25"
"Vibra",NULL,"ISO VG 32"
"Vibra",NULL,"ISO VG 320"
"Vibra",NULL,"ISO VG 46"
"Vibra",NULL,"ISO VG 68"
"Vibra",NULL,"ISO VG 68 (duplicado)"
"Vibra",NULL,"NÃO INFORMADO"
"Vibra",NULL,"Óleo Diesel"
"Vibra",NULL,"S10"
"Vibra",NULL,"S500"
"Vibra",NULL,"SAE 15W40"
"Vibra",NULL,"SAE 40"
"Volkswagem do Brasil",NULL,"-"
"Volkswagem do Brasil",NULL,"80W90"
"Volkswagem do Brasil",NULL,"ATF"
"Volkswagem do Brasil",NULL,"Coolant"
"Volkswagem do Brasil",NULL,"NÃO INFORMADO"
"Volkswagem do Brasil",NULL,"SAE 10W40"
"Volkswagem do Brasil",NULL,"SAE 15W40"
"Volkswagem do Brasil",NULL,"SAE 50"
"Volkswagem do Brasil",NULL,"SAE 5W30"
"Volkswagem do Brasil",NULL,"SAE 80"
"Volkswagem do Brasil",NULL,"SAE 85W140"
"Volkswagem do Brasil",NULL,"SAE 90"
"VOLKSWAGEN","ALMAX EVO 6","SAE 5W30"
"VOLKSWAGEN","ALMAX PLUS","SAE 15W40"
"VOLKSWAGEN",NULL,"75W80"
"VOLKSWAGEN",NULL,"80W90"
"VOLKSWAGEN",NULL,"HD 85W140"
"VOLKSWAGEN",NULL,"HIDROBAK HV 68"
"VOLKSWAGEN",NULL,"SAE 10W40"
"VOLKSWAGEN",NULL,"SAE 15W40"
"VOLKSWAGEN",NULL,"SAE 5W30"
"VOLKSWAGEN",NULL,"SAE 5W40"
"VOLKSWAGEN",NULL,"SAE 75W90"
"VOLKSWAGEN",NULL,"SAE 80W90"
"VOLKSWAGEN",NULL,"SAE 85W140"
"VOLKSWAGEN",NULL,"SAE 90"
"VOLVO","Axle Oil 97321 SAE 85W-140","SAE 85W140"
"VOLVO","BT - Volvo Engine Oil R VDS-3 15W-40 (310466)","SAE 15W40"
"VOLVO","VDS-3","SAE 15W40"
"VOLVO","VDS 4.5","SAE 15W40"
"VOLVO","VOLVO ENGINE OIL VDS 3 SAE 15W-40 (310457)","SAE 15W40"
"VOLVO","VOLVO ENGINE OIL VDS 4.5 10W-30","SAE 10W30"
"VOLVO","VOLVO HYDRAULIC OIL 98611 HO 103","ISO VG 68"
"VOLVO","VOLVO WET BRAKE OIL 97303 WB101","WB101"
"VOLVO","Volvo Wet Brake Oil 97304 WB102","WB102"
"VOLVO",NULL,"-"
"VOLVO",NULL,"101"
"VOLVO",NULL,"220"
"VOLVO",NULL,"50/50"
"VOLVO",NULL,"5W40"
"VOLVO",NULL,"60/40"
"VOLVO",NULL,"68"
"VOLVO",NULL,"70W"
"VOLVO",NULL,"75W80"
"VOLVO",NULL,"80w140"
"VOLVO",NULL,"80W90"
"VOLVO",NULL,"85W40"
"VOLVO",NULL,"85W90"
"VOLVO",NULL,"AT101"
"VOLVO",NULL,"AT102"
"VOLVO",NULL,"ATF"
"VOLVO",NULL,"ATF 102"
"VOLVO",NULL,"ATF MD3"
"VOLVO",NULL,"AW 68 HLP"
"VOLVO",NULL,"Collant"
"VOLVO",NULL,"Coolant"
"VOLVO",NULL,"Fluid DOT4"
"VOLVO",NULL,"Glicol"
"VOLVO",NULL,"HD 85W140"
"VOLVO",NULL,"HIDROBAK HV 68"
"VOLVO",NULL,"HM68"
"VOLVO",NULL,"HYGARD"
"VOLVO",NULL,"ISO 68"
"VOLVO",NULL,"ISO VG 68"
"VOLVO",NULL,"ISO VG 68 (duplicado)"
"VOLVO",NULL,"NA"
"VOLVO",NULL,"NÃO INFORMADO"
"VOLVO",NULL,"Óleo Diesel"
"VOLVO",NULL,"Plus 85w140"
"VOLVO",NULL,"S10"
"VOLVO",NULL,"S3 T"
"VOLVO",NULL,"S500"
"VOLVO",NULL,"SAE 0W30"
"VOLVO",NULL,"SAE 10W"
"VOLVO",NULL,"SAE 10W30"
"VOLVO",NULL,"SAE 10W40"
"VOLVO",NULL,"SAE 140"
"VOLVO",NULL,"SAE 15W30"
"VOLVO",NULL,"SAE 15W40"
"VOLVO",NULL,"SAE 30"
"VOLVO",NULL,"SAE 40"
"VOLVO",NULL,"SAE 46"
"VOLVO",NULL,"SAE 50"
"VOLVO",NULL,"SAE 5W30"
"VOLVO",NULL,"SAE 60"
"VOLVO",NULL,"SAE 75W140"
"VOLVO",NULL,"SAE 75W80"
"VOLVO",NULL,"SAE 75W90"
"VOLVO",NULL,"SAE 80W140"
"VOLVO",NULL,"SAE 80W90"
"VOLVO",NULL,"SAE 85W140"
"VOLVO",NULL,"SAE 90"
"VOLVO",NULL,"TELLUS 68"
"VOLVO",NULL,"ULTRA FG 68"
"VOLVO",NULL,"VCS 2 NARANJA"
"VOLVO",NULL,"VCS AMARILLO"
"VOLVO",NULL,"WB101"
"VOLVO",NULL,"WB102"
"VOLVO",NULL,"XTC"
"VR-GRENA",NULL,"SAE 85W140"
"WEG",NULL,"-"
"WEG",NULL,"Coolant"
"WEG",NULL,"ISO VG 220"
"WEG",NULL,"ISO VG 320"
"WEG",NULL,"ISO VG 460"
"WEG",NULL,"NÃO INFORMADO"
"WEST CHEMICAL ",NULL,"-"
"WEST CHEMICAL ",NULL,"3100"
"WEST CHEMICAL ",NULL,"50/50"
"WEST CHEMICAL ",NULL,"600 XP 100"
"WEST CHEMICAL ",NULL,"ISO 460"
"WEST CHEMICAL ",NULL,"NA"
"WEST CHEMICAL ",NULL,"Policool 3100"
"WIRTGEN",NULL,"-"
"WIRTGEN",NULL,"220"
"WIRTGEN",NULL,"320"
"WIRTGEN",NULL,"68"
"WIRTGEN",NULL,"75w140"
"WIRTGEN",NULL,"80W90"
"WIRTGEN",NULL,"85W90"
"WIRTGEN",NULL,"COOL-GARD"
"WIRTGEN",NULL,"Fluide XLD FE"
"WIRTGEN",NULL,"Hydrau"
"WIRTGEN",NULL,"ISO 220"
"WIRTGEN",NULL,"ISO 46"
"WIRTGEN",NULL,"ISO 68"
"WIRTGEN",NULL,"ISO VG 150"
"WIRTGEN",NULL,"ISO VG 220"
"WIRTGEN",NULL,"ISO VG 68"
"WIRTGEN",NULL,"NÃO INFORMADO"
"WIRTGEN",NULL,"S10"
"WIRTGEN",NULL,"SAE 10W30"
"WIRTGEN",NULL,"SAE 10W40"
"WIRTGEN",NULL,"SAE 15W40"
"WIRTGEN",NULL,"SAE 75W90"
"WIRTGEN",NULL,"Syntheticn 75W90"
"WÜRTH",NULL,"-"
"WYNNS",NULL,"-"
"Yamaha",NULL,"SAE 10W40"
"Yamaha",NULL,"SAE 20W50"
"YORK",NULL,"-"
"YORK",NULL,"68"
"YORK",NULL,"ISO 100"
"YORK",NULL,"ISO 68"
"YORK",NULL,"ISO VG 100"
"YORK",NULL,"ISO VG 32"
"YPF",NULL,"-"
"YPF",NULL,"68"
"YPF",NULL,"80W90"
"YPF",NULL,"ATF"
"YPF",NULL,"BP 46"
"YPF",NULL,"Coolant"
"YPF",NULL,"ISO 68"
"YPF",NULL,"ISO VG 100"
"YPF",NULL,"ISO VG 220"
"YPF",NULL,"ISO VG 320"
"YPF",NULL,"ISO VG 46"
"YPF",NULL,"ISO VG 460"
"YPF",NULL,"ISO VG 68"
"YPF",NULL,"SAE 10W"
"YPF",NULL,"SAE 10W30"
"YPF",NULL,"SAE 10W40"
"YPF",NULL,"SAE 15W40"
"YPF",NULL,"SAE 30"
"YPF",NULL,"SAE 50"
"YPF",NULL,"SAE 5W30"
"YPF",NULL,"SAE 80W90"
"YPF",NULL,"SAE 85W140"
"YPF",NULL,"SAE 90"
"ZF",NULL,"-"
"ZF",NULL,"75W80"
"ZF",NULL,"85W90"
"ZF",NULL,"ISO 5"
"ZF",NULL,"SAE 15W40"
"ZF",NULL,"SAE 50"
"ZF",NULL,"SAE 90"
NULL,NULL,"-"
NULL,NULL,"220"
NULL,NULL,"25000"
NULL,NULL,"32"
NULL,NULL,"320"
NULL,NULL,"424"
NULL,NULL,"46"
NULL,NULL,"460"
NULL,NULL,"500"
NULL,NULL,"50/50"
NULL,NULL,"50W"
NULL,NULL,"5W40"
NULL,NULL,"600 XP 100"
NULL,NULL,"600 XP 680"
NULL,NULL,"68"
NULL,NULL,"80W"
NULL,NULL,"80W90"
NULL,NULL,"85W40"
NULL,NULL,"85W90"
NULL,NULL,"90"
NULL,NULL,"ATF"
NULL,NULL,"ATF 200"
NULL,NULL,"Biodiesel B100"
NULL,NULL,"Collant"
NULL,NULL,"Coolant"
NULL,NULL,"COOL-GARD"
NULL,NULL,"EX 46"
NULL,NULL,"GRAU 400"
NULL,NULL,"HD 85W140"
NULL,NULL,"HYGARD"
NULL,NULL,"HY-TRAN"
NULL,NULL,"ISO 46"
NULL,NULL,"ISO 68"
NULL,NULL,"ISO VG 100"
NULL,NULL,"ISO VG 1500"
NULL,NULL,"ISO VG 220"
NULL,NULL,"ISO VG 32"
NULL,NULL,"ISO VG 320"
NULL,NULL,"ISO VG 46"
NULL,NULL,"ISO VG 460"
NULL,NULL,"ISO VG 68"
NULL,NULL,"ISO VG 680"
NULL,NULL,"MINERAL"
NULL,NULL,"NÃO INFORMADO"
NULL,NULL,"OMALA 320"
NULL,NULL,"Plus 50"
NULL,NULL,"PLUS 50 II"
NULL,NULL,"Plus 85w140"
NULL,NULL,"ROTO Z"
NULL,NULL,"S10"
NULL,NULL,"S500"
NULL,NULL,"SAE 0W40"
NULL,NULL,"SAE 10W30"
NULL,NULL,"SAE 10W40"
NULL,NULL,"SAE 140."
NULL,NULL,"SAE 15W30"
NULL,NULL,"SAE 15W40"
NULL,NULL,"SAE 20W30"
NULL,NULL,"SAE 30"
NULL,NULL,"SAE 40"
NULL,NULL,"SAE 46"
NULL,NULL,"SAE 50"
NULL,NULL,"SAE 5W30"
NULL,NULL,"SAE 80W90"
NULL,NULL,"SAE 85W140"
NULL,NULL,"SAE 90"
NULL,NULL,"TDH SPECIAL"
NULL,NULL,"TEXAMATIC B"
NULL,NULL,"TORQ GARD"
NULL,NULL,NULL
